age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
66,housemaid,single,unknown,no,2280,yes,no,telephone,27,jul,52,9,-1,0,unknown,no
44,housemaid,single,unknown,no,501,no,no,telephone,18,oct,13,6,-1,0,unknown,no
59,blue-collar,divorced,primary,no,4127,no,no,telephone,18,oct,449,2,-1,0,unknown,yes
45,admin.,single,secondary,no,-405,yes,no,unknown,15,jan,101,7,-1,0,unknown,no
33,unemployed,married,secondary,no,1014,no,no,cellular,18,sep,29,6,-1,0,unknown,no
32,unemployed,single,primary,no,3788,no,yes,unknown,15,may,463,4,287,2,failure,yes
64,unknown,divorced,primary,no,4952,yes,no,cellular,17,jun,370,6,-1,0,unknown,yes
68,unknown,divorced,primary,no,-152,yes,no,unknown,29,dec,297,6,-1,0,unknown,no
61,management,married,tertiary,no,7319,no,yes,telephone,5,sep,624,5,213,3,failure,yes
72,entrepreneur,married,secondary,no,2365,yes,no,telephone,11,nov,173,1,-1,0,unknown,no
69,blue-collar,divorced,secondary,no,-1715,yes,no,telephone,16,mar,35,3,-1,0,unknown,no
74,management,divorced,secondary,no,2533,no,no,unknown,20,mar,16,7,-1,0,unknown,no
20,management,divorced,primary,no,270,no,no,unknown,2,may,98,2,-1,0,unknown,no
54,technician,married,primary,no,2729,no,no,cellular,17,jul,23,1,-1,0,unknown,no
68,technician,divorced,primary,no,1294,yes,no,unknown,1,mar,197,8,-1,0,unknown,no
24,student,divorced,primary,no,1646,no,no,cellular,18,apr,3,7,-1,0,unknown,no
38,management,married,unknown,no,-1319,no,no,unknown,17,feb,151,6,-1,0,unknown,no
26,retired,single,primary,no,4402,yes,no,telephone,25,sep,50,5,-1,0,unknown,no
56,entrepreneur,single,tertiary,no,-2055,no,yes,unknown,31,oct,118,6,395,3,other,no
35,blue-collar,divorced,unknown,no,-1913,no,no,telephone,18,sep,290,1,-1,0,unknown,no
21,management,single,unknown,no,2528,no,no,unknown,19,nov,111,9,-1,0,unknown,no
42,self-employed,single,primary,no,6245,no,no,cellular,25,feb,107,1,-1,0,unknown,no
31,unemployed,single,secondary,no,362,yes,no,unknown,5,may,1208,4,166,3,other,yes
67,entrepreneur,single,primary,no,3532,yes,no,telephone,30,jan,327,3,-1,0,unknown,yes
26,technician,divorced,secondary,no,4652,no,yes,unknown,13,aug,186,4,-1,0,unknown,no
43,student,single,primary,no,3874,no,no,cellular,24,jun,223,1,-1,0,unknown,no
70,unemployed,single,primary,no,486,no,no,cellular,23,oct,249,4,-1,0,unknown,no
19,technician,married,secondary,no,-1859,yes,no,cellular,31,oct,6,4,-1,0,unknown,no
37,technician,divorced,secondary,no,-5219,yes,no,cellular,30,feb,21,3,-1,0,unknown,no
45,entrepreneur,married,secondary,no,632,yes,yes,unknown,6,feb,270,8,-1,0,unknown,no
64,technician,married,secondary,no,4967,no,no,cellular,13,oct,116,7,-1,0,unknown,no
24,self-employed,divorced,tertiary,no,-1959,yes,no,unknown,18,may,14,9,-1,0,unknown,no
61,housemaid,single,secondary,no,3529,no,no,unknown,30,jul,91,2,211,4,failure,no
25,student,married,primary,no,-1436,yes,no,unknown,29,sep,36,3,-1,0,unknown,no
64,admin.,divorced,primary,no,1742,yes,no,cellular,4,sep,640,6,-1,0,unknown,yes
52,housemaid,single,tertiary,no,3552,yes,yes,cellular,9,dec,58,2,-1,0,unknown,no
31,admin.,divorced,secondary,no,-561,no,no,unknown,23,nov,40,2,-1,0,unknown,no
34,unknown,married,primary,no,1935,no,no,unknown,3,jun,253,2,-1,0,unknown,no
53,unknown,single,tertiary,no,173,no,no,unknown,22,feb,190,2,-1,0,unknown,no
67,technician,single,primary,no,3544,no,no,telephone,24,jun,221,5,-1,0,unknown,no
57,blue-collar,divorced,tertiary,no,2131,yes,no,telephone,24,jan,147,1,-1,0,unknown,no
21,blue-collar,single,tertiary,no,1593,yes,no,cellular,8,nov,162,7,-1,0,unknown,no
19,admin.,married,unknown,no,6112,no,no,telephone,13,nov,389,1,-1,0,unknown,yes
23,unemployed,married,unknown,no,3415,no,no,unknown,24,feb,64,1,-1,0,unknown,no
71,entrepreneur,married,secondary,no,-654,yes,no,unknown,26,dec,130,5,-1,0,unknown,no
59,technician,divorced,unknown,no,1164,no,no,cellular,31,mar,816,7,-1,0,unknown,yes
21,entrepreneur,single,tertiary,no,1194,yes,no,cellular,22,may,54,3,-1,0,unknown,no
71,housemaid,single,primary,no,1664,yes,no,telephone,11,oct,89,7,389,4,other,no
46,blue-collar,single,primary,no,9019,yes,yes,unknown,31,jan,54,9,-1,0,unknown,no
35,retired,married,secondary,no,2538,no,no,cellular,10,dec,5,4,-1,0,unknown,no
43,student,single,unknown,no,-4703,yes,no,cellular,11,oct,81,5,-1,0,unknown,no
61,housemaid,married,secondary,no,-210,yes,no,telephone,3,may,12,8,249,4,success,no
51,student,single,tertiary,no,-4391,yes,no,cellular,25,may,43,9,-1,0,unknown,no
27,self-employed,married,unknown,no,430,yes,no,telephone,14,apr,116,5,-1,0,unknown,no
53,housemaid,single,secondary,no,-4556,yes,yes,unknown,14,mar,5,5,-1,0,unknown,no
31,admin.,divorced,primary,no,-1199,yes,no,telephone,30,jul,360,2,-1,0,unknown,yes
48,self-employed,divorced,primary,no,-3152,yes,no,cellular,19,nov,409,9,239,1,success,yes
65,services,married,secondary,no,2578,no,no,telephone,28,jul,136,6,-1,0,unknown,no
32,housemaid,married,secondary,no,1424,yes,yes,telephone,28,jan,1077,5,-1,0,unknown,yes
25,self-employed,single,secondary,no,2334,yes,yes,unknown,31,jul,293,5,-1,0,unknown,yes
31,technician,single,tertiary,no,1108,yes,no,telephone,4,mar,351,4,-1,0,unknown,yes
40,student,divorced,tertiary,no,-2772,no,no,cellular,31,mar,55,1,-1,0,unknown,no
74,management,single,primary,no,2968,no,no,cellular,26,jun,468,6,-1,0,unknown,yes
57,management,married,tertiary,no,7206,yes,no,unknown,1,jun,748,1,-1,0,unknown,yes
38,technician,married,tertiary,no,2654,no,no,unknown,2,nov,69,2,-1,0,unknown,no
33,services,married,unknown,no,141,no,no,unknown,6,apr,299,7,-1,0,unknown,no
62,services,married,tertiary,no,-2874,no,no,cellular,30,may,354,1,-1,0,unknown,no
35,admin.,married,unknown,no,-1309,yes,yes,telephone,13,mar,93,8,-1,0,unknown,no
64,blue-collar,divorced,tertiary,no,2786,yes,no,cellular,14,mar,166,8,-1,0,unknown,no
70,entrepreneur,divorced,primary,no,4652,no,no,cellular,28,sep,26,7,-1,0,unknown,no
41,student,married,secondary,no,2207,no,no,unknown,1,may,49,7,-1,0,unknown,no
43,services,single,primary,no,3829,no,no,unknown,28,jan,16,1,-1,0,unknown,no
42,retired,married,tertiary,no,3552,yes,yes,telephone,25,sep,211,3,-1,0,unknown,no
62,admin.,divorced,secondary,no,2947,yes,no,telephone,8,oct,253,9,-1,0,unknown,no
58,unknown,married,secondary,no,-558,no,no,telephone,18,jun,639,5,-1,0,unknown,yes
46,unemployed,divorced,secondary,no,1946,no,yes,telephone,14,sep,201,5,-1,0,unknown,no
32,unknown,divorced,unknown,no,-1129,yes,no,cellular,2,nov,77,7,-1,0,unknown,no
62,admin.,married,primary,no,1475,yes,no,telephone,24,jul,15,8,-1,0,unknown,no
18,student,married,unknown,no,2418,yes,no,cellular,12,nov,557,6,234,2,success,yes
42,self-employed,single,secondary,no,6474,no,no,cellular,27,oct,168,5,-1,0,unknown,no
24,housemaid,divorced,primary,no,-2517,no,no,telephone,24,oct,344,1,357,4,failure,no
26,entrepreneur,single,primary,no,2871,no,no,telephone,1,jul,3,9,230,2,other,no
41,unemployed,married,tertiary,no,5880,no,no,cellular,30,may,172,6,-1,0,unknown,no
18,unknown,divorced,unknown,no,3706,yes,no,unknown,21,jul,101,3,-1,0,unknown,no
61,unemployed,single,unknown,no,3929,no,yes,telephone,15,oct,7,7,-1,0,unknown,no
25,retired,single,tertiary,no,3191,no,no,unknown,11,apr,385,4,-1,0,unknown,no
41,retired,single,unknown,no,5329,no,no,cellular,18,nov,185,3,7,4,other,no
28,self-employed,married,secondary,no,-1849,no,yes,unknown,17,nov,104,7,-1,0,unknown,no
68,retired,married,secondary,no,-2747,yes,no,cellular,3,jun,422,6,-1,0,unknown,yes
34,admin.,married,unknown,no,1403,no,yes,unknown,15,feb,152,4,-1,0,unknown,no
25,entrepreneur,divorced,tertiary,yes,-5079,no,no,unknown,13,oct,0,8,-1,0,unknown,no
52,student,married,primary,no,5126,no,no,unknown,3,mar,745,2,-1,0,unknown,yes
52,self-employed,divorced,unknown,no,5096,yes,no,cellular,13,feb,76,6,-1,0,unknown,no
50,admin.,single,primary,no,119,no,yes,cellular,26,oct,458,3,-1,0,unknown,yes
22,management,single,tertiary,no,307,yes,no,cellular,9,feb,437,8,-1,0,unknown,yes
59,housemaid,married,primary,no,1205,yes,no,telephone,10,jul,45,8,-1,0,unknown,no
56,housemaid,single,tertiary,no,1579,yes,no,cellular,1,may,165,1,-1,0,unknown,no
58,retired,married,tertiary,no,1805,no,no,telephone,27,jun,10,2,-1,0,unknown,no
45,management,divorced,secondary,no,3102,yes,no,cellular,2,mar,112,4,-1,0,unknown,no
24,services,single,secondary,no,903,yes,no,telephone,25,oct,338,1,-1,0,unknown,yes
26,services,married,tertiary,no,4261,no,no,unknown,14,may,69,3,-1,0,unknown,no
25,student,single,unknown,no,2764,no,no,unknown,5,may,32,4,-1,0,unknown,no
29,retired,single,secondary,no,-403,no,yes,cellular,25,nov,182,3,-1,0,unknown,no
51,unknown,married,tertiary,no,5440,yes,no,telephone,22,apr,198,5,249,4,other,no
50,admin.,single,primary,no,-2663,no,no,unknown,10,oct,290,7,-1,0,unknown,no
65,retired,single,primary,no,1145,yes,no,unknown,26,apr,367,8,-1,0,unknown,no
72,blue-collar,single,unknown,no,4332,yes,no,telephone,19,dec,307,8,167,1,failure,no
40,unemployed,single,primary,no,-752,yes,no,cellular,8,aug,481,2,-1,0,unknown,yes
41,student,divorced,primary,no,2354,no,no,unknown,13,jun,65,1,-1,0,unknown,no
54,housemaid,single,tertiary,no,3057,yes,no,cellular,9,nov,217,6,-1,0,unknown,no
52,services,single,primary,no,-1166,yes,no,cellular,18,feb,115,1,-1,0,unknown,no
61,technician,married,primary,no,1204,yes,no,telephone,25,feb,844,6,-1,0,unknown,yes
57,services,divorced,primary,no,952,yes,no,telephone,4,feb,149,7,-1,0,unknown,no
39,student,married,primary,no,-237,no,yes,unknown,8,jun,828,9,-1,0,unknown,yes
44,housemaid,married,tertiary,no,8348,no,no,telephone,5,dec,378,1,-1,0,unknown,yes
52,student,married,primary,no,-873,yes,no,unknown,29,jan,327,7,-1,0,unknown,yes
18,unemployed,divorced,unknown,no,4446,yes,no,unknown,6,mar,174,4,-1,0,unknown,no
52,housemaid,married,secondary,no,241,yes,no,unknown,20,jan,151,9,-1,0,unknown,no
54,technician,married,unknown,no,-1846,no,no,cellular,5,apr,192,4,-1,0,unknown,no
64,retired,married,secondary,no,1732,yes,no,cellular,28,jan,89,2,-1,0,unknown,no
31,management,single,unknown,no,3376,yes,no,telephone,1,sep,605,1,-1,0,unknown,yes
20,technician,married,secondary,no,4192,yes,no,telephone,31,nov,408,7,-1,0,unknown,yes
18,housemaid,divorced,secondary,no,6123,yes,yes,unknown,28,dec,417,7,-1,0,unknown,yes
22,housemaid,divorced,secondary,no,10285,yes,no,unknown,19,nov,146,3,-1,0,unknown,no
43,blue-collar,single,secondary,no,2176,yes,no,cellular,30,jun,19,5,152,1,other,no
72,self-employed,divorced,tertiary,no,-572,yes,no,cellular,4,aug,296,7,-1,0,unknown,yes
31,blue-collar,divorced,unknown,no,2785,yes,no,unknown,1,feb,121,8,-1,0,unknown,no
56,entrepreneur,single,secondary,no,621,no,no,unknown,29,jun,527,9,-1,0,unknown,yes
44,blue-collar,married,unknown,no,4209,yes,no,telephone,19,apr,391,1,-1,0,unknown,yes
26,admin.,single,primary,no,-2480,yes,yes,unknown,4,jul,40,9,-1,0,unknown,no
32,management,married,secondary,no,8549,no,no,unknown,14,aug,237,6,361,1,failure,no
32,unemployed,married,unknown,no,3998,no,yes,unknown,14,jun,304,6,-1,0,unknown,no
43,technician,divorced,tertiary,no,-3644,yes,no,cellular,9,jan,216,7,359,3,failure,no
59,housemaid,single,unknown,no,-710,no,no,cellular,19,aug,186,9,-1,0,unknown,no
30,entrepreneur,divorced,secondary,no,3878,yes,no,telephone,11,nov,66,7,-1,0,unknown,no
68,entrepreneur,divorced,primary,no,4962,no,no,telephone,16,jan,69,7,330,3,success,no
49,unemployed,married,unknown,no,-2405,no,no,telephone,19,sep,376,3,-1,0,unknown,yes
56,management,divorced,primary,no,3568,yes,no,unknown,4,feb,4,9,-1,0,unknown,no
66,technician,single,tertiary,no,-4436,yes,no,unknown,9,nov,389,4,163,1,failure,yes
69,services,divorced,unknown,no,1154,yes,no,cellular,25,oct,193,6,-1,0,unknown,no
49,student,divorced,unknown,no,4769,no,no,unknown,17,jun,710,7,-1,0,unknown,yes
21,blue-collar,married,tertiary,no,-236,no,no,unknown,15,aug,1528,9,-1,0,unknown,yes
47,student,single,tertiary,no,-3111,no,no,cellular,8,may,280,3,-1,0,unknown,yes
54,student,divorced,tertiary,no,1862,yes,no,telephone,26,feb,137,2,-1,0,unknown,no
40,retired,married,secondary,no,-396,yes,no,unknown,13,may,166,2,-1,0,unknown,no
56,student,divorced,secondary,no,3317,no,no,cellular,1,jan,58,2,-1,0,unknown,no
62,entrepreneur,single,unknown,no,-1240,yes,no,cellular,2,aug,26,9,-1,0,unknown,no
32,blue-collar,divorced,unknown,no,-901,yes,no,telephone,10,aug,223,8,-1,0,unknown,no
60,blue-collar,divorced,unknown,no,-4658,yes,no,cellular,27,feb,422,9,-1,0,unknown,yes
46,admin.,married,primary,no,1934,no,no,telephone,21,jun,78,9,-1,0,unknown,no
53,management,divorced,tertiary,no,938,no,no,telephone,27,nov,140,1,-1,0,unknown,no
30,retired,married,unknown,no,-2152,no,no,telephone,13,aug,208,9,-1,0,unknown,no
49,student,single,tertiary,no,2006,yes,no,telephone,31,oct,615,1,-1,0,unknown,yes
24,self-employed,divorced,secondary,no,4513,no,no,telephone,11,aug,38,5,226,3,other,no
68,services,single,tertiary,no,774,no,yes,cellular,14,dec,69,4,-1,0,unknown,no
39,housemaid,single,primary,no,2229,yes,no,unknown,16,jul,646,8,-1,0,unknown,yes
45,admin.,divorced,primary,no,2245,yes,no,telephone,28,mar,10,5,-1,0,unknown,no
19,blue-collar,married,tertiary,no,-2200,yes,no,telephone,29,dec,275,9,-1,0,unknown,no
59,blue-collar,single,primary,no,7611,no,no,unknown,6,nov,263,1,-1,0,unknown,no
62,unknown,single,primary,no,6,yes,no,unknown,2,apr,124,8,-1,0,unknown,no
74,retired,divorced,secondary,no,3397,yes,no,telephone,26,jan,162,6,-1,0,unknown,no
70,student,divorced,unknown,no,3737,yes,no,unknown,5,sep,498,1,-1,0,unknown,yes
23,retired,divorced,primary,no,1002,no,no,telephone,19,oct,46,2,-1,0,unknown,no
45,unknown,divorced,unknown,no,3248,yes,no,cellular,7,oct,67,4,263,3,success,no
45,retired,divorced,tertiary,no,2162,yes,yes,unknown,28,feb,185,5,-1,0,unknown,no
61,blue-collar,divorced,tertiary,no,-2842,yes,no,unknown,28,oct,136,1,-1,0,unknown,no
61,entrepreneur,married,primary,no,423,yes,no,cellular,17,jul,220,7,240,3,failure,no
37,technician,single,tertiary,no,-420,yes,no,unknown,5,aug,654,4,-1,0,unknown,yes
47,blue-collar,married,secondary,no,33,yes,no,cellular,12,apr,642,1,-1,0,unknown,yes
28,admin.,married,primary,no,-2500,no,no,telephone,19,nov,67,6,-1,0,unknown,no
72,management,divorced,primary,no,4812,no,yes,unknown,27,nov,92,9,43,3,failure,no
45,unknown,single,primary,no,6243,no,no,unknown,18,oct,45,9,-1,0,unknown,no
42,services,married,tertiary,no,4365,yes,no,cellular,28,jan,678,4,-1,0,unknown,yes
56,housemaid,divorced,tertiary,no,5246,no,no,telephone,12,may,130,7,-1,0,unknown,no
50,services,divorced,primary,no,385,yes,no,telephone,3,oct,154,1,-1,0,unknown,no
18,blue-collar,single,unknown,no,-491,yes,no,cellular,26,oct,418,9,-1,0,unknown,yes
74,admin.,married,tertiary,no,-919,no,no,unknown,4,jun,185,1,-1,0,unknown,no
44,student,married,tertiary,no,3360,no,no,unknown,15,jul,32,9,-1,0,unknown,no
74,blue-collar,married,primary,no,2106,yes,no,cellular,15,jan,148,6,-1,0,unknown,no
69,management,divorced,unknown,no,1190,no,no,cellular,11,apr,256,7,-1,0,unknown,no
30,entrepreneur,single,primary,no,5320,no,yes,cellular,2,dec,327,4,-1,0,unknown,yes
58,self-employed,single,tertiary,no,2641,no,no,unknown,18,may,267,9,-1,0,unknown,no
20,housemaid,married,primary,no,-1100,no,yes,cellular,3,may,32,6,-1,0,unknown,no
56,management,divorced,primary,no,-625,no,no,telephone,18,jul,93,6,-1,0,unknown,no
23,unknown,married,primary,no,3475,yes,no,cellular,14,apr,341,6,-1,0,unknown,no
25,student,single,unknown,no,4557,yes,no,telephone,6,oct,547,4,-1,0,unknown,yes
44,unknown,divorced,primary,no,3083,no,no,telephone,2,jul,12,7,-1,0,unknown,no
26,blue-collar,married,tertiary,no,7130,yes,no,cellular,1,aug,11,2,-1,0,unknown,no
54,admin.,married,primary,no,6342,yes,no,telephone,8,feb,266,2,-1,0,unknown,no
50,management,divorced,unknown,no,2750,yes,no,unknown,10,jan,204,6,-1,0,unknown,no
68,unemployed,single,secondary,no,-1100,yes,yes,cellular,31,oct,43,9,59,4,failure,no
59,student,divorced,unknown,no,-2518,no,no,unknown,20,oct,205,3,68,2,failure,no
61,admin.,married,primary,no,257,no,no,unknown,18,jan,946,7,-1,0,unknown,yes
41,entrepreneur,married,secondary,no,3689,yes,no,telephone,20,jan,257,9,-1,0,unknown,no
32,student,married,primary,no,6919,no,yes,unknown,11,sep,153,9,-1,0,unknown,no
71,unknown,married,unknown,yes,2679,no,no,unknown,18,apr,453,3,-1,0,unknown,yes
49,student,single,secondary,no,4939,yes,no,cellular,27,sep,61,1,-1,0,unknown,no
49,self-employed,single,secondary,no,684,no,no,cellular,16,jul,138,2,-1,0,unknown,no
41,blue-collar,married,primary,no,3296,yes,no,unknown,5,jul,193,8,-1,0,unknown,no
58,retired,single,primary,no,3900,yes,no,telephone,7,feb,181,7,-1,0,unknown,no
69,unknown,single,unknown,no,-4533,yes,no,telephone,22,feb,654,1,-1,0,unknown,yes
66,self-employed,single,primary,no,178,no,no,cellular,2,dec,89,3,-1,0,unknown,no
66,housemaid,married,secondary,no,4280,yes,no,cellular,11,may,15,8,-1,0,unknown,no
69,technician,divorced,tertiary,no,2248,no,no,cellular,13,oct,640,7,-1,0,unknown,yes
29,retired,divorced,tertiary,no,-2177,no,no,telephone,20,jan,63,5,-1,0,unknown,no
56,blue-collar,divorced,unknown,no,-5889,yes,no,cellular,24,jul,122,3,-1,0,unknown,no
19,unemployed,married,primary,no,322,yes,no,unknown,28,nov,195,7,116,4,failure,no
20,retired,single,unknown,no,1207,yes,no,telephone,16,jul,960,5,-1,0,unknown,yes
66,housemaid,single,tertiary,no,-1236,yes,yes,unknown,30,nov,197,1,-1,0,unknown,no
54,admin.,married,tertiary,no,1853,no,no,cellular,14,aug,153,5,-1,0,unknown,no
66,unemployed,married,primary,no,2946,yes,yes,telephone,7,jul,226,3,-1,0,unknown,no
73,unknown,divorced,secondary,no,3441,no,no,cellular,7,aug,911,2,-1,0,unknown,yes
34,unemployed,divorced,primary,no,-5665,yes,yes,telephone,12,mar,439,3,-1,0,unknown,yes
66,management,married,tertiary,no,-2531,no,no,cellular,12,mar,47,4,-1,0,unknown,no
19,housemaid,divorced,secondary,no,506,no,no,telephone,20,aug,419,1,-1,0,unknown,yes
19,student,single,unknown,no,3144,no,no,telephone,1,sep,474,4,-1,0,unknown,yes
45,self-employed,married,tertiary,no,2895,no,no,telephone,23,oct,302,9,-1,0,unknown,no
71,retired,married,unknown,no,2842,yes,no,unknown,6,apr,276,1,-1,0,unknown,no
40,management,single,secondary,no,269,yes,no,cellular,8,aug,149,7,-1,0,unknown,no
54,unemployed,single,unknown,no,437,no,no,cellular,27,jan,264,8,-1,0,unknown,no
49,management,single,tertiary,no,-768,no,no,telephone,13,feb,345,9,66,2,other,yes
50,services,divorced,primary,yes,3734,yes,no,unknown,5,oct,33,7,-1,0,unknown,no
18,housemaid,married,unknown,no,-1346,yes,no,telephone,24,oct,76,9,-1,0,unknown,no
36,self-employed,divorced,tertiary,no,3980,yes,no,cellular,10,oct,55,3,-1,0,unknown,no
19,entrepreneur,single,tertiary,no,2048,no,no,cellular,27,sep,474,1,-1,0,unknown,yes
70,admin.,divorced,secondary,no,1287,yes,no,telephone,14,feb,293,2,-1,0,unknown,no
61,unemployed,single,tertiary,no,-553,yes,no,telephone,24,feb,154,1,-1,0,unknown,no
43,housemaid,divorced,primary,no,-2655,no,no,telephone,9,aug,451,2,-1,0,unknown,yes
49,entrepreneur,divorced,primary,no,-525,yes,no,cellular,17,may,325,9,-1,0,unknown,no
23,entrepreneur,single,unknown,no,430,yes,no,telephone,3,may,631,5,-1,0,unknown,yes
49,blue-collar,divorced,unknown,no,-5705,yes,yes,telephone,12,nov,20,4,-1,0,unknown,no
72,self-employed,married,unknown,no,829,yes,no,cellular,12,jun,183,2,188,2,success,no
21,management,divorced,unknown,no,4204,yes,no,telephone,11,aug,316,3,-1,0,unknown,no
72,entrepreneur,divorced,primary,no,3129,yes,no,unknown,22,aug,59,9,-1,0,unknown,no
28,services,married,secondary,no,-70,yes,no,cellular,29,sep,102,3,-1,0,unknown,no
73,housemaid,single,unknown,no,1564,no,yes,telephone,4,oct,140,8,-1,0,unknown,no
34,technician,married,secondary,no,-250,no,no,telephone,8,nov,408,1,-1,0,unknown,no
55,technician,divorced,tertiary,no,1870,yes,no,cellular,10,mar,175,5,-1,0,unknown,no
41,student,single,tertiary,no,6057,yes,no,cellular,14,sep,175,2,-1,0,unknown,no
22,student,divorced,unknown,no,4337,no,no,unknown,30,nov,145,4,33,4,other,no
69,unemployed,divorced,tertiary,yes,2990,yes,no,telephone,1,mar,66,2,-1,0,unknown,no
51,student,married,secondary,no,-60,yes,yes,telephone,31,jan,661,3,-1,0,unknown,yes
23,unknown,married,secondary,no,3679,yes,no,telephone,12,dec,98,5,355,4,failure,no
39,management,single,tertiary,no,-3652,no,no,cellular,5,nov,216,2,-1,0,unknown,no
28,unknown,single,unknown,no,663,yes,no,cellular,14,may,41,9,-1,0,unknown,no
65,entrepreneur,single,secondary,no,3179,no,yes,cellular,4,jul,146,8,-1,0,unknown,no
33,housemaid,divorced,secondary,no,3650,no,yes,telephone,28,mar,604,5,-1,0,unknown,yes
50,unemployed,married,primary,no,3438,no,no,telephone,17,sep,1392,1,-1,0,unknown,yes
26,retired,married,unknown,no,2310,yes,no,cellular,26,jan,115,5,5,1,other,no
23,entrepreneur,married,primary,no,834,no,no,unknown,22,jun,43,4,284,1,failure,no
33,management,single,tertiary,no,3041,yes,yes,telephone,31,dec,97,9,343,1,failure,no
46,technician,married,tertiary,no,-1444,no,no,unknown,26,dec,102,2,-1,0,unknown,no
20,self-employed,married,primary,no,-1118,yes,yes,cellular,13,jun,266,7,352,2,failure,no
37,student,married,unknown,no,1608,yes,no,telephone,31,aug,176,2,-1,0,unknown,no
53,blue-collar,single,secondary,no,1944,no,no,unknown,3,mar,377,3,-1,0,unknown,yes
36,housemaid,married,tertiary,no,-4070,yes,no,telephone,11,dec,311,3,-1,0,unknown,yes
43,admin.,single,unknown,no,2792,yes,no,unknown,31,may,74,8,-1,0,unknown,no
20,self-employed,married,unknown,no,3748,yes,no,telephone,11,nov,395,2,-1,0,unknown,yes
36,unknown,married,tertiary,no,1190,no,yes,unknown,5,oct,485,1,-1,0,unknown,yes
37,student,married,tertiary,no,8567,yes,no,unknown,6,nov,235,6,-1,0,unknown,no
49,unemployed,single,unknown,no,-631,no,no,cellular,4,may,677,6,168,4,success,yes
24,unknown,single,secondary,no,336,no,no,cellular,10,aug,394,1,-1,0,unknown,yes
69,housemaid,married,primary,no,234,no,no,unknown,10,jul,233,5,-1,0,unknown,no
58,unknown,divorced,tertiary,no,1193,yes,no,telephone,12,mar,610,9,375,2,other,yes
50,housemaid,single,primary,no,433,no,no,unknown,22,jul,236,5,-1,0,unknown,no
57,unknown,single,unknown,no,-2810,yes,no,telephone,23,oct,190,7,323,4,failure,no
56,self-employed,married,primary,no,-221,no,no,telephone,18,aug,113,6,-1,0,unknown,no
35,services,divorced,secondary,no,1129,no,no,telephone,30,may,553,4,-1,0,unknown,yes
57,self-employed,married,unknown,no,5119,yes,no,telephone,15,nov,33,2,-1,0,unknown,no
